"poly(octyl acrylate)"|\N|""|""
"poly(benzyl methacrylate)"|"PbnMA"|""|""
"polyisoprene"|"PI"|"poly(1,4-isoprene)"|""
"poly(methyl acrylate)"|"PMA"|""|""
"poly(ethylene-alt-propylene)"|"PEP; PMB"|"poly(ethylene-propylene); polymethylbutylene"|""
"deuterated poly(ethylene-alt-propylene)"|"dPEP"|""|""
"poly(perfluoroethylene)"|\N|""|""
"poly(vinylidene fluoride)"|"PVDF"|""|""
"poly(vinyl chloride)"|"PVC"|""|""
"poly(methacrylic acid)"|"PMAA"|""|""
"polybutadiene"|"PB"|"poly(1,4-butadiene)"|""
"poly(butyl acrylate)"|"PBA"|"poly(n-butyl acrylate)"|""
"poly[(9,9-dioctylfluorenyl-2,7-diyl)-co-5,5-(4′,7′-di-2-thienyl-2′,1′,3′-benzothiadiazole]"|"APFO-3"|""|""
"polycarbonate"|"PC"|""|""
"poly(4-hydroxystyrene)"|"PHS"|""|""
"poly(propylene oxide)"|"PPO"|""|""
"poly(tert-butoxystyrene)"|"PtBOS"|""|""
"poly(2,6-dimethyl-1,4-phenylene oxide) "|"PXE"|"poly(xylenyl ether)"|""
"poly(n-pentyl methacrylate)"|"PnPMA"|""|""
"polythiophene"|"PT"|""|""
"polyacrylamide"|"PAAm"|""|""
"poly(ethylene oxide)"|"PEO"|"poly(ethylene glycol);poly(oxyethylene)"|"PEG"
"polyvinyl alcohol"|"PVA"|""|""
"poly(tert-butyl acrylate)"|"PtBA"|""|""
"poly(3-octylthiophene)"|"P3OT"|""|""
"poly(4-acetoxystyrene)"|"P4AS"|""|""
"poly(norbornene)"|"PNB"|""|""
"poly(N-vinylcaprolactam)"|"PVCL"|""|""
"poly(3-methylthiophene)"|"P3MT"|""|""
"poly(4-vinylpyridine)"|"P4VP"|""|""
"poly(2-vinylpyridine)"|"P2VP"|""|""
"chitosan"|\N|""|""
"polysulfone"|\N|""|""
"polyoctene"|\N|""|""
"poly(cyclohexylethylene)"|"PCHE"|""|""
"poly(n-hexyl methacrylate)"|"PHMA"|""|""
"poly{2,5-bis[(4-methoxyphenyl)oxycarbonyl]styrene}"|"PMPCS"|""|""
"poly(3-butylthiophene)"|"P3BT"|""|""
"poly(allylamine hydrochloride)"|"PAH"|""|""
"poly(acrylic acid)"|"PAA"|""|""
"poly(diisoamyl itaconate)"|\N|""|""
"polyacrylonitrile"|\N|""|""
"poly(3-dodecylthiophene)"|"P3DDT"|""|""
"poly(trimethylsilylstyrene)"|"PTMSS"|""|""
"poly(ε-caprolactone)"|"PCL"|""|""
"polystyrenesulfonate"|"PSS"|""|""
"polystyrene"|"PS"|"poly(styrene)"|""
"deuterated polystyrene"|"dPS"|""|""
"poly(4-tert-butylstyrene)"|"PtBS"|""|""
"poly(N-isopropylacrylamide)"|"PNIPAM"|""|""
"poly(propylene)"|"PP"|""|""
"deuterated polypropylene"|"dPP"|""|""
"poly(diethylhexyloxy-p-phenylenevinylene)"|\N|""|""
"poly(trifluoroethyl methacrylate)"|"PTFEMA"|""|""
"polydimethylsiloxane"|"PDMS"|""|""
"poly(butyl methacrylate)"|"PbMA"|"poly(n-butyl methacrylate)"|""
"poly(ethyl methacrylate)"|"PEMA"|""|""
"poly(3-(2-ethylhexyl)thiophene)"|"P3EHT"|""|""
"deuterated poly(hexene oxide)"|"d-PHO"|""|""
"poly(hexafluoroisopropylidene diphthalic anhydride-alt-2,3,5,6-tetramethyl-1,4-diaminobenzene)"|"6FDA-TMPD"|""|""
"polyethylene"|"PE"|""|""
"deuterated polyethylene"|"dPE"|""|""
"deuterated poly(methyl methacrylate)"|"dPMMA"|""|""
"poly(methyl methacrylate)"|"PMMA"|""|""
"poly(3-hexylthiophene)"|"P3HT"|"poly(3-hexylthiophene-2,5-diyl)"|""
"poly(ethyl ethylene)"|"PEE"|""|""
"polybutylene"|\N|""|""
"poly(hydroxyethyl acrylate)"|\N|""|""
"poly(butylene oxide)"|"PBO"|""|""
"poly(6-methyl-ε-caprolactone)"|"PMCL"|""|""
"poly[N-(4-vinylbenzyl)-N,N-diethylamine]"|"PVEA"|""|""
"poly(vinyl methyl ether)"|"PVME"|""|""
"poly(hexene oxide)"|\N|""|""
"poly(lactic acid)"|"PLA"|"poly(lactide); poly(lactic acid)"|""
"poly(N,N-dimethylacrylamide)"|"PDMA"|""|""
"poly(2,2-bis(trifluoromethyl)-4,5-difluoro-1,3-dioxole)"|\N|""|""
"deuterated poly(butylene oxide)"|"dPBO"|""|""
"deuterated poly(octylene oxide)"|"dPOO"|""|""
"poly(octylene oxide)"|"POO"|""|""
"matrimid"|\N|""|""
"polychloromethylstyrene"|"PCMS"|""|""
"carboxylated nitrile rubber"|"XNBR"|\N|\N
"poly(ferrocenylmethylethylsilane)"|"PFS"|\N|\N
"polymerized soybean oil"|\N|\N|\N
"polymethylbutylene"|"PMB"|\N|\N
"deuterated poly(hexene oxide)"|"dPHO"|\N|\N
"poly(perfluoroethylene-r-2,2-bis(trifluoromethyl)-4,5-difluoro-1,3-dioxole))"|\N|\N|\N
"poly(4-vinylbenzyltrimethylammonium chloride)"|"PVBTAmC"|\N|\N
"poly(ethylene-r-butylene)"|"PEB"|\N|\N
"polymerized soybean oil"|\N|\N|\N
"poly(styrene-r-acrylonitrile)"|"SAN"|\N|\N
